station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
VIS;24.03.2025 00:00;9.2;17.4;-0.5;7.6;22;-4.5;55.6;6;937.4;;1444.8;;1012;1.5;8.6;5.4;31;8.4;30.2;230;0;0;;207;;;;60;522;77;2.4;0;135;10.8;2.8;-2.7
VIS;25.03.2025 00:00;9.8;16.8;0.6;8.4;20.9;-4.3;57.6;6.6;942.1;;1487;;1017;1.7;8.2;6.1;29.5;8;28.8;0;0;0;;169;;;;57;369;55;2.2;0;270;10.2;2.2;-2
VIS;26.03.2025 00:00;10.4;16.2;3.5;9.5;21;-0.6;61.3;7.5;941.8;;1486.9;;1016.7;2.4;10.3;8.6;37.1;10.1;36.4;0;0;0;;192;;;;119;221;33;2.5;0;281;9.6;1.6;-1.3
VIS;27.03.2025 00:00;9.2;17.1;0.9;8.2;19.8;-2.5;64.9;7.2;938.8;;1456.7;;1013.5;3.1;13.7;11.2;49.3;13;46.8;0;0;0;;245;;;;46;677;100;3;0;279;10.8;2.8;-2.8
VIS;28.03.2025 00:00;9.7;16.4;1.2;9.8;19.8;-3.7;59.8;6.9;935.1;;1426.5;;1009.6;4.4;16.7;15.8;60.1;16;57.6;0;0;0;;257;;;;55;668;97;3.3;0;274;10.3;2.3;-3.2
VIS;29.03.2025 00:00;9.9;13.4;6;9.6;19.1;2.5;58.3;7;936.7;;1440.5;;1011.2;3.2;12.1;11.5;43.6;11.9;42.8;0;0;0;;116;;;;103;38;6;2.3;0;281;10.1;2.1;-0.7
VIS;30.03.2025 00:00;10.2;17.2;1.1;9.9;21.7;-2.6;57.4;6.6;943;;1496.5;;1018;5.5;21.3;19.8;76.7;21;75.6;0;0;0;;200;;;;77;394;57;3.5;0;270;9.8;1.8;-2.3
VIS;31.03.2025 00:00;11.5;17.8;2;10.8;19.7;-3.4;38.6;4.9;941.6;;1488.1;;1016.4;9.4;24.8;33.8;89.3;23.6;85;0;0;0;;267;;;;38;692;100;5.3;0;266;8.5;0.5;-5.1
VIS;01.04.2025 00:00;8.2;14.8;-2.3;7.9;18.9;-7.4;41.9;4;939.4;;1458.7;;1014.1;4.9;17.6;17.6;63.4;17.3;62.3;480;0;0;;277;;;;62;671;96;3.9;0;115;11.8;3.8;-4.8
VIS;02.04.2025 00:00;12.3;15.4;6;12;19.6;5.5;42.5;6.1;940.7;;1483.3;;1015.5;7.4;15.3;26.6;55.1;14.7;52.9;1110;0;0;;185;;;;111;273;39;4;0;107;0;0;-2.4
VIS;03.04.2025 00:00;13.7;21.1;5.8;12.5;24.6;-0.3;42.7;6.4;945;;1524.9;;1020;3.4;12.7;12.2;45.7;12.4;44.6;370;0;0;;257;;;;60;696;98;4.3;0;100;0;0;-5
VIS;04.04.2025 00:00;12.9;22.7;2.2;11.5;28.3;-2.6;47.8;6.5;942;;1495.9;;1016.9;1;4.7;3.6;16.9;4.6;16.6;0;0;0;;266;;;;45;711;99;3.2;0;180;0;0;-4.7
VIS;05.04.2025 00:00;13.8;22.5;2.2;12.4;24.8;-1.8;48.5;7.1;937.9;;1463.1;;1012.6;3.1;12.7;11.2;45.7;12.6;45.4;0;0;0;;266;;;;45;714;99;4.2;0;263;0;0;-4.8
VIS;06.04.2025 00:00;12.3;21.2;3.4;11.1;25.2;-2.2;55.7;7.5;937.6;;1455.9;;1012.2;2.3;12;8.3;43.2;11.4;41;0;0;0;;270;;;;46;709;98;3.7;0;274;0;0;-4.2
VIS;07.04.2025 00:00;10.5;19.2;0.1;9.1;21.1;-4.6;54.2;6.4;942.7;;1494.5;;1017.6;3.4;15.7;12.2;56.5;15.2;54.7;0;0;0;;275;;;;46;720;99;3.8;0;272;9.5;1.5;-4.4
VIS;08.04.2025 00:00;10.5;19.8;-0.5;9.2;21.7;-6.1;49.3;5.6;945.7;;1520.2;;1020.8;3.2;15.3;11.5;55.1;15;54;0;0;0;;276;;;;49;724;99;4;0;275;9.5;1.5;-5
VIS;09.04.2025 00:00;10.5;19.7;0.9;8.8;23.6;-4.8;51.7;6.1;944.1;;1506.7;;1019.1;2.5;12.1;9;43.6;11.8;42.5;0;0;0;;241;;;;73;540;74;3.5;0;270;9.5;1.5;-3.7
VIS;10.04.2025 00:00;11.5;20.9;1.1;9.8;23.6;-3.7;51.4;6.3;946.9;;1534;;1022.1;2.3;12.2;8.3;43.9;12.2;43.9;0;0;0;;272;;;;55;730;100;3.8;0;274;8.5;0.5;-4.9
VIS;11.04.2025 00:00;13.6;23.3;2;12;25.8;-3.5;47.6;6.8;944.3;;1518.6;;1019.4;2.6;12.6;9.4;45.4;12.3;44.3;0;0;0;;286;;;;42;720;98;4.4;0;270;0;0;-5.2
VIS;12.04.2025 00:00;14.7;21.9;3.7;13.8;25.1;-1.6;47.8;7.7;938.4;;1470;;1013;4.7;15.4;16.9;55.4;15.2;54.7;670;0;0;;220;;;;90;523;71;4.4;0;104;0;0;-4
VIS;13.04.2025 00:00;15.5;18.1;10.5;15;21.1;8.8;49.5;8.6;936.2;;1452.5;;1010.7;6.7;14.5;24.1;52.2;14;50.4;1100;0;0;;133;;;;115;32;4;4;0;114;0;0;-0.9
VIS;14.04.2025 00:00;14.8;20.1;7.4;13.9;21.5;4.2;56.3;9;933.6;;1428.1;;1008;6.7;18.2;24.1;65.5;18.1;65.2;980;0;0;;245;;;;118;452;61;4.5;0;106;0;0;-3.1
VIS;15.04.2025 00:00;16.1;20.7;10.8;16;23.5;9.3;49.5;8.9;928.9;;1389.3;;1002.9;8.8;16.9;31.7;60.8;16.5;59.4;1220;5.6;1.1;;228;;;;97;368;50;5.4;0;107;0;0;-2
VIS;16.04.2025 00:00;7.7;10.9;0.3;6.6;9.3;-0.1;88.1;9.4;934.4;;1414.5;;1008.8;6.3;17.7;22.7;63.7;16.9;60.8;0;125.1;86.2;;19;;;;17;0;0;0.4;0;119;12.3;4.3;86
VIS;17.04.2025 00:00;1.4;2.8;-0.1;-0.1;0;-0.1;93.5;6.3;935.7;;1407.7;;1010.2;0.8;6.8;2.9;24.5;6.6;23.8;0;31.8;75;;65;;;;63;0;0;0.8;0;90;18.6;10.6;74.9
VIS;18.04.2025 00:00;5;10.6;1.1;0;0.3;-0.1;81.4;7;939.9;;1453.7;;1014.6;0.8;4.1;2.9;14.8;4;14.4;0;0;0.2;;284;;;;79;529;71;2.6;0;124;15;7;-1.5
VIS;19.04.2025 00:00;8.9;15.7;0.6;4;9.4;-0.1;64.3;7;935.6;;1428.2;;1010.1;6.4;17.1;23;61.6;16.7;60.1;160;0;0;;288;;;;91;653;87;3.6;0;109;11.1;3.1;-3.6
VIS;20.04.2025 00:00;12.4;16.6;8.3;11.8;18.9;6;56.9;8.2;934;;1424.8;;1008.4;9.8;19.5;35.3;70.2;18.3;65.9;540;0.2;0.2;;224;;;;108;328;44;4.4;0;113;0;0;-2.4
VIS;21.04.2025 00:00;11.4;17.8;2.1;11.2;22.3;-1.4;58.4;7.6;938.7;;1462.7;;1013.3;3.9;12.7;14;45.7;12.4;44.6;0;0;0;;277;;;;81;534;71;3.7;0;273;8.6;0.6;-3.6
VIS;22.04.2025 00:00;12.5;20.2;3.8;12.4;25;0.5;60.8;8.2;942.3;;1497;;1017.2;1.7;8.7;6.1;31.3;8.4;30.2;0;0;0;;288;;;;107;674;90;3.7;0;276;0;0;-4.2
VIS;23.04.2025 00:00;11.7;20.9;3.7;11.6;25.4;-0.5;67.7;8.9;940.2;;1476.6;;1015;3.7;16.9;13.3;60.8;16.1;58;0;4.9;4.9;;246;;;;71;456;60;3.9;0;277;8.3;0.3;2.3
VIS;24.04.2025 00:00;11.5;16.8;7.2;11.5;21;4.8;60.1;7.9;941.2;;1484.6;;1016;6.8;15.4;24.5;55.4;14.8;53.3;0;0;0;;227;;;;109;266;35;4.1;0;280;8.5;0.5;-2.1
VIS;25.04.2025 00:00;11.8;18;3.7;11.2;21.3;-1.6;59.1;7.9;940.5;;1480;;1015.3;5.6;15.2;20.2;54.7;14.6;52.6;0;0;0;;293;;;;98;597;79;4.2;0;279;8.2;0.2;-4
VIS;26.04.2025 00:00;12.4;21.6;1.2;12.2;27.4;-2.9;57.6;7.6;940.4;;1480.5;;1015.2;1.9;11.2;6.8;40.3;10.6;38.2;320;0;0;;314;;;;52;653;86;4.1;0;107;0;0;-4.5
VIS;27.04.2025 00:00;13.7;21.8;4.6;13.4;27.5;1.2;64.6;9.6;945.3;;1527.6;;1020.4;2.1;12;7.6;43.2;11.6;41.8;110;0;0;;245;;;;108;467;62;3.6;0;135;0;0;-3
VIS;28.04.2025 00:00;15.2;23.2;5.9;14.3;28;0.9;56.5;9;947.9;;1555.5;;1023.2;2.3;11.2;8.3;40.3;10.9;39.2;450;0;0;;314;;;;75;678;89;4.6;0;117;0;0;-4.9
VIS;29.04.2025 00:00;16.1;24.7;5;15.6;29.6;-0.9;50.8;8.6;947.9;;1558.2;;1023.2;2.5;14.2;9;51.1;13.7;49.3;270;0;0;;330;;;;68;702;92;5.1;0;114;0;0;-5.7
VIS;30.04.2025 00:00;16.3;25.9;4.5;15.4;32.4;0.7;51.2;8.8;946.7;;1548.3;;1021.9;1.5;6.3;5.4;22.7;6.1;22;0;0;0;;326;;;;63;709;93;4.7;0;104;0;0;-5.7
VIS;01.05.2025 00:00;17.2;26.7;5.8;15.9;33.4;0.2;50.4;9.1;945.8;;1543.5;;1020.9;1.5;7.4;5.4;26.6;7.3;26.3;60;0;0;;331;;;;53;764;100;4.9;0;225;0;0;-6.2
VIS;02.05.2025 00:00;18.8;26.7;5.8;17.6;31.2;-0.7;47.8;9.6;944.5;;1536.9;;1019.5;3.8;12.1;13.7;43.6;11.9;42.8;640;0;0;;313;;;;66;675;88;5.7;0.5;98;0;0;-5.9
VIS;03.05.2025 00:00;16;22.2;12;15.6;29.8;8.4;74.8;13.4;941.7;;1503.4;;1016.6;1.6;10.5;5.8;37.8;10.2;36.7;0;20.4;15.1;;172;;;;102;164;21;3;0;270;0;0;14
VIS;04.05.2025 00:00;15.1;20.2;11.5;15.3;26.7;9.9;78.1;13.1;934.4;;1435.9;;1008.8;2.2;10.8;7.9;38.9;10.3;37.1;50;1.9;6.8;;171;;;;118;160;21;2.9;0;255;0;0;5.9
VIS;05.05.2025 00:00;11.4;14.3;8.4;11.3;17.2;7.3;79.3;10.7;931;;1395.3;;1005.2;2.9;9;10.4;32.4;8.7;31.3;0;0.8;1.2;;101;;;;97;0;0;1.8;0;253;8.6;0.6;0.8
VIS;06.05.2025 00:00;11;17.3;7.5;13.1;25.6;6.9;73.1;9.5;935.3;;1431.9;;1009.7;4.5;15.3;16.2;55.1;14.8;53.3;0;2.2;0;;286;;;;114;390;51;3.9;0;273;9;1;-2.1
VIS;07.05.2025 00:00;10.3;14.3;8.3;11.2;21.7;7.6;79.7;9.9;936.7;;1442.5;;1011.3;4.1;15.1;14.8;54.4;14.6;52.6;0;0;2.2;;231;;;;121;274;35;3;0;273;9.7;1.7;0.9
VIS;08.05.2025 00:00;12;17.1;8.4;13;25.7;7.5;70.9;9.7;936.2;;1442.2;;1010.6;2.8;10.8;10.1;38.9;10.5;37.8;0;5.8;0.3;;222;;;;101;261;34;3.3;0;278;8;0;-1.4
VIS;09.05.2025 00:00;11.8;18;6.5;12.4;28.1;2.5;76.7;10.4;939.9;;1474.3;;1014.6;1.7;9.3;6.1;33.5;9.1;32.8;0;0.8;6.3;;204;;;;138;138;18;2.9;0;74;8.2;0.2;5.4
