station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
BER;01.01.1996 00:00;8;3.7;12.3;-1.3;-1;-1.7;9.1;-0.7;29;950.6;-2;7;1.9;100;1051.7;103;135;93;93945;87;3951.7;44.5;1951.7;125;-11.9;30.3;112;28;32;0;1;0
BER;01.01.1997 00:00;9.1;4.3;13.9;-0.2;-0.4;-0.1;9.7;-0.1;23;953.2;0.6;6;1.9;100;941.4;92;145;100;109866;102;3434.5;66.8;1690.5;112;-10.4;29.2;114;37;18;0;0;0
BER;01.01.1998 00:00;8.9;4.1;13.9;-0.4;-0.6;-0.1;9.2;-0.6;24;953.1;0.5;11;2.1;111;884.3;87;142;98;102802;95;3630.3;119.1;1806.3;110;-11.7;34;117;48;23;0;11;0
BER;01.01.1999 00:00;9;4.6;13.6;-0.3;-0.1;-0.4;9.9;0.1;19;952.1;-0.5;9;1.9;100;1317.7;129;135;93;93227;86;3491.9;75;1795.9;147;-15.6;30.5;100;41;23;0;2;0
BER;01.01.2000 00:00;9.6;4.9;14.5;0.3;0.2;0.5;9.9;0.1;25;952.6;0;8;1.8;95;983.7;96;143;99;105934;98;3305.4;73.2;1529.4;123;-14.4;30.6;82;40;7;0;1;0
BER;01.01.2001 00:00;9.2;4.7;13.7;-0.1;0;-0.3;9.8;0;16;952.3;-0.3;12;1.9;100;1277.8;125;138;95;98015;91;3426.9;96;1682.9;148;-14.3;30.5;99;43;14;0;2;0
BER;01.01.2002 00:00;9.5;4.9;14;0.2;0.2;0;9.9;0.1;22;952.1;-0.5;11;1.9;100;1316.2;129;140;97;97055;90;3418.9;83.7;1530.9;136;-11.4;32.4;66;34;15;0;6;0
BER;01.01.2003 00:00;9.7;4.4;14.9;0.4;-0.3;0.9;9.6;-0.2;24;953.3;0.7;8;1.8;95;737.8;72;157;108;125986;117;3521.1;284;1833.1;94;-15.4;36.8;116;83;24;0;29;3
BER;01.01.2004 00:00;8.9;4.4;13.4;-0.4;-0.3;-0.6;9.5;-0.3;15;952.6;0;10;1.9;100;1011.5;99;142;98;97222;90;3516.5;74.7;1756.5;122;-10.4;30.1;113;40;15;0;1;0
BER;01.01.2005 00:00;8.7;3.9;13.5;-0.6;-0.8;-0.5;9.4;-0.4;18;953.5;0.9;6;1.8;95;859.4;84;150;104;112994;105;3768.2;118.9;1920.2;108;-16;33.3;115;49;41;0;11;0
BER;01.01.2006 00:00;9.3;4.8;14;0;0.1;0;10;0.2;20;953.3;0.7;7;1.9;100;1215.6;119;140;97;106516;99;3450.2;165.2;1778.2;121;-12.9;33.4;110;51;28;0;16;0
BER;01.01.2007 00:00;9.5;4.8;14.3;0.2;0.1;0.3;9.9;0.1;25;953.3;0.7;8;2;105;1290.6;126;146;101;116425;108;3306.1;64.3;1578.1;130;-11.4;30.6;94;36;20;0;2;0
BER;01.01.2008 00:00;9;4.5;13.6;-0.3;-0.2;-0.4;9.7;-0.1;13;952.2;-0.4;4;1.9;100;945;92;141;97;107865;100;3539;87.4;1747;120;-9.9;31.3;105;38;10;0;2;0
BER;01.01.2009 00:00;9.4;4.8;14.1;0.1;0.1;0.1;9.9;0.1;18;951.1;-1.5;5;1.8;95;959.2;94;149;103;113369;105;3389;126.1;1757;114;-12.9;33.2;100;49;27;0;8;0
BER;01.01.2010 00:00;8.3;4.2;12.9;-1;-0.5;-1.1;9.4;-0.4;18;949.4;-3.2;6;1.9;100;915.1;90;141;97;99515;92;3829.9;114.7;1989.9;125;-16.3;32.9;108;40;38;0;10;0
